event_date,bond_code,Y,prob_proposal,signal_buy,pnl,cumulative_pnl
2025-01-10,118036.SH,0,0.20178494,0,0.0,-0.002
2025-01-13,113670.SH,0,0.0699254,0,0.0,-0.002
2025-01-13,123080.SZ,0,0.17512912,0,0.0,-0.002
2025-01-13,127030.SZ,0,0.332737,0,0.0,-0.002
2025-01-14,118027.SH,1,0.3211365,0,0.0,-0.002
2025-01-14,123039.SZ,0,0.52543044,0,0.0,-0.002
2025-01-14,127102.SZ,0,0.1987517,0,0.0,-0.002
2025-01-15,118007.SH,0,0.108522154,0,0.0,-0.002
2025-01-15,123126.SZ,0,0.18208264,0,0.0,-0.002
2025-01-15,127047.SZ,0,0.5903339,0,0.0,-0.002
2025-01-16,128137.SZ,0,0.25059068,0,0.0,-0.002
2025-01-16,123189.SZ,0,0.1798086,0,0.0,-0.002
2025-01-16,113665.SH,0,0.21509553,0,0.0,-0.002
2025-01-16,123172.SZ,0,0.3425421,0,0.0,-0.002
2025-01-16,113574.SH,0,0.5152017,0,0.0,-0.002
2025-01-16,113652.SH,0,0.26951092,0,0.0,-0.002
2025-01-16,110081.SH,0,0.36585575,0,0.0,-0.002
2025-01-20,111009.SH,0,0.11207172,0,0.0,-0.002
2025-01-20,113053.SH,0,0.27087274,0,0.0,-0.002
2025-01-20,113605.SH,0,0.30391273,0,0.0,-0.002
2025-01-20,118014.SH,0,0.13051178,0,0.0,-0.002
2025-01-20,118023.SH,0,0.10580345,0,0.0,-0.002
2025-01-20,118034.SH,0,0.4408459,0,0.0,-0.002
2025-01-20,127088.SZ,0,0.16182758,0,0.0,-0.002
2025-01-20,127097.SZ,0,0.25585866,0,0.0,-0.002
2025-01-20,128108.SZ,0,0.5078839,0,0.0,-0.002
2025-01-21,128136.SZ,0,0.25827625,0,0.0,-0.002
2025-01-21,128101.SZ,1,0.5924482,0,0.0,-0.002
2025-01-21,110073.SH,0,0.30700904,0,0.0,-0.002
2025-01-21,123130.SZ,0,0.5673671,0,0.0,-0.002
2025-01-22,127062.SZ,0,0.09812807,0,0.0,-0.002
2025-01-22,110087.SH,0,0.181927,0,0.0,-0.002
2025-01-22,113601.SH,1,0.52093214,0,0.0,-0.002
2025-01-22,113653.SH,0,0.29530987,0,0.0,-0.002
2025-01-22,113654.SH,1,0.17650434,0,0.0,-0.002
2025-01-22,118022.SH,0,0.27319115,0,0.0,-0.002
2025-01-22,118033.SH,0,0.1703227,0,0.0,-0.002
2025-01-22,123049.SZ,0,0.581879,0,0.0,-0.002
2025-01-22,123119.SZ,0,0.13361235,0,0.0,-0.002
2025-01-22,123193.SZ,0,0.086519055,0,0.0,-0.002
2025-01-22,123240.SZ,0,0.5853222,0,0.0,-0.002
2025-01-22,127033.SZ,0,0.4831612,0,0.0,-0.002
2025-01-23,128095.SZ,1,0.44701013,0,0.0,-0.002
2025-01-23,127061.SZ,0,0.3348426,0,0.0,-0.002
2025-01-23,111018.SH,0,0.3938878,0,0.0,-0.002
2025-01-23,127025.SZ,0,0.34400526,0,0.0,-0.002
2025-01-24,110064.SH,0,0.48792252,0,0.0,-0.002
2025-01-24,123109.SZ,0,0.4117389,0,0.0,-0.002
2025-01-24,123183.SZ,0,0.21145695,0,0.0,-0.002
2025-01-24,123215.SZ,0,0.16922042,0,0.0,-0.002
