event_date,Y,bond_code,W1,W2,W3,W4a,W5,W6,W7a,W8,W9
2022-11-10,0,113655.SH,-0.1808239519596099,1.338819,0,0,0,1,0,5.7358,0.21951
2022-11-11,0,127031.SZ,-0.0977019593119621,1.241936,0,0,1,0,0,4.3669,0.03485
2022-11-11,0,128138.SZ,0.1191407218575477,1.092859,0,1,0,0,0,4.0164,0.3031
2022-11-15,0,110082.SH,-0.0842169746756553,2.928616,0,0,0,1,0,4.95,0.07265
2022-11-15,0,123142.SZ,-0.1138911172747612,4.565181,0,1,0,1,0,5.3388,0.03497
2022-11-17,0,113628.SH,-0.0205646213144063,1.655198,0,1,0,0,0,4.7639,0.28623
2022-11-21,0,123161.SZ,0.1438834816217422,1.159174,0,0,0,0,0,5.8891,0.14286
2022-11-21,0,128026.SZ,0.0860693156719207,3.36052,0,1,1,0,0,1.0595,0.55461
2022-11-22,0,113535.SH,0.0136007657274603,0.845883,0,0,0,0,0,1.462,0.12723
2022-11-22,0,113658.SH,-0.0830928608775138,1.572727,0,1,0,0,0,4.8159,0.29412
2022-11-23,0,128056.SZ,0.0838334932923317,0.776886,0,1,0,0,0,2.2669,0.5883
2022-11-25,0,113641.SH,-0.0099309962242841,1.003244,0,0,0,1,0,5.2485,0.14198
2022-11-29,0,123128.SZ,0.1850203275680542,1.343914,0,0,0,0,0,4.9227,0.2834
2022-11-29,0,127004.SZ,0.0266022607684135,0.912663,0,1,0,0,0,0.5065,0.63721
2022-11-30,0,118026.SH,-0.095015212893486,1.293285,0,1,0,0,0,5.9001,0.8
2022-11-30,1,128014.SZ,-0.0617464818060398,2.985598,0,1,1,0,0,0.3778,0.42641
2022-11-30,0,113573.SH,-0.0940818265080452,1.891774,0,1,0,0,0,3.3785,0.41735
2022-12-01,0,110045.SH,-0.1160722598433494,1.764076,0,0,1,0,0,1.6153,0.08286
2022-12-02,1,118006.SH,-0.1720118671655655,11.316366,0,1,0,1,0,5.2841,0.05806
2022-12-05,0,113639.SH,-0.0463684424757957,1.020085,0,0,0,1,0,5.1362,0.34921
2022-12-06,1,111006.SH,-0.1405888944864273,2.022652,0,1,0,1,0,5.681,0.26087
2022-12-06,0,113597.SH,-0.0155695201829075,2.102772,0,1,0,0,0,3.6468,0.03623
2022-12-06,0,128071.SZ,-0.0723742172122001,1.310152,0,0,0,0,0,2.694,0.07455
2022-12-06,0,128142.SZ,-0.0141177028417587,0.483415,0,0,0,0,0,4.0329,0.22788
2022-12-07,1,111005.SH,-0.1244835332036018,2.708234,0,1,0,1,0,5.5441,0.52273
2022-12-07,0,123038.SZ,-0.019818989560008,1.82219,0,1,0,0,0,3.05,0.10678
2022-12-07,0,128124.SZ,-0.1746608167886734,5.350927,0,1,0,0,0,3.6386,0.22628
2022-12-09,0,127054.SZ,-0.0939906165003776,2.452044,0,0,0,1,0,5.1745,0.57865
2022-12-09,1,123099.SZ,0.243523359298706,1.906475,0,1,0,1,0,4.1697,0.07746
2022-12-09,0,123124.SZ,-0.0308125279843807,2.081356,0,1,0,0,0,4.6845,0.08667
2022-12-12,0,123161.SZ,0.1438834816217422,1.159174,0,0,0,0,0,5.8316,0.06897
2022-12-13,0,113596.SH,0.2014910131692886,1.634339,0,1,0,0,1,3.6222,0.19355
2022-12-14,0,110076.SH,-0.1651797741651535,1.673004,0,0,0,1,0,3.885,0.3246
2022-12-14,0,123101.SZ,-0.0719200521707534,1.583681,0,0,0,0,0,4.2355,0.42512
2022-12-14,1,127033.SZ,0.0451744347810745,1.874297,0,0,0,0,0,4.3368,0.11905
2022-12-15,0,110081.SH,-0.0662240833044052,1.151514,0,0,0,0,0,4.616,0.14873
2022-12-16,0,113530.SH,-0.0749175623059272,1.613242,0,0,0,0,0,2.2779,0.74324
2022-12-16,0,127042.SZ,0.0084545584395527,1.349444,0,0,0,0,0,4.6461,0.22039
2022-12-20,0,127004.SZ,0.0266022607684135,0.912663,0,1,0,0,0,0.449,0.4148
2022-12-21,0,113059.SH,-0.0376596562564373,1.265977,0,0,1,1,0,5.4127,0.11719
2022-12-21,0,118023.SH,0.0629252344369888,1.056326,0,1,0,0,0,5.8125,0.11111
